nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us,neighbors_wall_us,neighbors_max_local_us
8,2,1,8,8,16384,131072,3145728,0,11150.8,11057.7,690.9,496.9,2740.5,2578.7,11513.3,11369.5
8,2,1,8,8,16384,131072,3145728,1,667.1,583.9,214.3,128.3,0.0,0.0,0.0,0.0
8,2,1,8,8,65536,524288,12582912,0,25733.4,25680.1,662.8,588.8,10823.9,10592.3,37259.0,37259.0
8,2,1,8,8,65536,524288,12582912,1,700.4,597.8,325.9,134.1,0.0,0.0,0.0,0.0
16,2,1,16,8,16384,131072,6291456,0,22994.7,22833.2,1185.0,962.0,5904.4,5072.9,28274.9,28211.5
16,2,1,16,8,16384,131072,6291456,1,1153.0,1142.3,486.4,171.0,0.0,0.0,0.0,0.0
16,2,1,16,8,65536,524288,25165824,0,65375.7,65375.7,1307.6,965.4,17416.2,16998.7,131585.0,131154.4
16,2,1,16,8,65536,524288,25165824,1,1614.6,1257.7,562.9,150.8,0.0,0.0,0.0,0.0
