nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us
16,2,1,16,8,1024,8192,786432,0,1001.0,567.6,6100.0,6070.3,1229.3,1128.2
16,2,1,16,8,1024,8192,786432,1,1328.4,981.0,7198.0,7092.7,1451.8,1106.9
16,2,1,16,8,1024,8192,786432,2,1185.0,656.4,8673.5,8448.8,1176.8,1071.4
16,2,1,16,8,1024,8192,786432,3,1420.5,1238.3,9682.2,9464.8,1384.4,1099.0
16,2,1,16,8,1024,8192,786432,4,1447.9,1175.3,10760.2,10461.2,1266.2,929.3
