nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,samples,put_med_us,collect_med_us,collect_min_us,collect_max_us,barrier_med_us,barrier_min_us,barrier_max_us,data_cost_us,neighbors_med_us
8,2,1,8,8,1024,8192,262144,3,763.4,1958.9,1948.2,2772.2,593.7,566.5,605.4,1365.2,229.1
8,2,1,8,8,16384,131072,4194304,3,2990.6,10290.7,8301.8,13942.8,644.6,567.6,754.9,9646.1,256.5
16,2,1,16,8,1024,8192,524288,3,995.1,7231.7,5151.5,8257.8,1120.8,1111.8,1359.6,6110.9,448.8
16,2,1,16,8,16384,131072,8388608,3,5369.3,29521.2,19897.3,37185.0,1193.2,1151.5,1264.1,28328.0,504.1
