nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,samples,put_med_us,collect_med_us,collect_min_us,collect_max_us,barrier_med_us,barrier_min_us,barrier_max_us,data_cost_us
8,2,1,8,8,1024,8192,393216,5,1016.6,3461.9,2947.3,4299.5,894.5,816.9,1081.1,2567.4
16,2,1,16,8,1024,8192,786432,5,1609.7,9161.5,7192.8,10799.6,1661.4,1583.9,2126.8,7500.1
