nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,samples,put_med_us,collect_med_us,collect_min_us,collect_max_us,barrier_med_us,barrier_min_us,barrier_max_us,data_cost_us,neighbors_med_us
8,2,1,8,8,1024,8192,262144,3,768.5,2401.3,2331.9,3016.7,595.2,575.7,657.2,1806.1,214.5
8,2,1,8,8,16384,131072,4194304,3,3490.0,12151.6,9101.8,15420.7,676.1,657.4,711.2,11475.5,186.1
16,2,1,16,8,1024,8192,524288,3,1110.8,6356.2,5680.1,8663.8,1145.1,1091.1,1166.6,5211.1,368.4
16,2,1,16,8,16384,131072,8388608,3,6967.0,31215.1,24486.1,41496.1,1372.2,1210.4,1474.0,29842.9,452.1
