nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us
16,2,1,16,8,1024,8192,786432,0,1154.0,658.2,6129.7,6129.7,1068.0,768.3
16,2,1,16,8,1024,8192,786432,1,1045.8,706.8,7217.4,6641.9,1096.7,762.4
16,2,1,16,8,1024,8192,786432,2,921.1,917.0,8340.0,8232.4,1147.9,888.6
16,2,1,16,8,1024,8192,786432,3,1621.8,1560.3,9999.1,9868.8,1068.5,833.0
16,2,1,16,8,1024,8192,786432,4,1434.1,1093.4,9415.7,9137.4,1095.7,754.9
