nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,samples,put_med_us,collect_med_us,collect_min_us,collect_max_us,barrier_med_us,barrier_min_us,barrier_max_us,data_cost_us
8,2,1,8,8,1024,8192,393216,5,1058.8,3002.1,2568.4,3523.3,765.4,656.1,815.1,2236.7
8,2,1,8,8,4096,32768,1572864,5,1680.4,5242.9,4035.6,7644.4,688.4,630.3,756.5,4554.5
8,2,1,8,8,16384,131072,6291456,5,3277.3,16276.5,7761.4,19354.4,615.4,572.7,679.2,15661.1
8,2,1,8,8,65536,524288,25165824,5,10131.2,48888.1,25033.2,87726.8,673.0,602.1,766.7,48215.1
16,2,1,16,8,1024,8192,786432,5,1163.3,8098.0,6523.9,9923.1,1150.5,1105.2,1297.9,6947.5
16,2,1,16,8,4096,32768,3145728,5,2499.3,14405.4,9194.8,21038.8,1041.4,1003.3,1215.0,13364.0
16,2,1,16,8,16384,131072,12582912,5,5864.7,40685.3,21391.9,57768.2,1141.0,928.0,1199.1,39544.3
16,2,1,16,8,65536,524288,50331648,5,20409.3,252451.3,74314.8,1151911.7,1179.4,1149.7,1690.1,251271.9
