nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,samples,put_med_us,collect_med_us,collect_min_us,collect_max_us,barrier_med_us,barrier_min_us,barrier_max_us,data_cost_us,neighbors_med_us
8,2,1,8,8,1024,8192,393216,5,1031.4,755.5,0.0,3173.1,637.2,0.0,3162.1,118.3,719.9
16,2,1,16,8,1024,8192,786432,5,1245.2,1061.9,0.0,10236.4,1194.5,0.0,8368.6,-132.6,1168.1
